learnerID,learnerProfile,testID,theta,realScore,Timestamp
A090000323,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000087,F;S01;9,A090000001,-0.8756951167,0.2085403144,2021-01-08 06:08:25.336946
A090000118,M;S01;9,A090000001,-0.3329421481,0.3263203981,2021-01-08 06:08:25.336946
A090000513,F;S01;9,A090000001,0.6231110671,0.7778467987,2021-01-08 06:08:25.336946
A090000178,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000485,F;S01;9,A090000001,0.2489793318,0.6512337388,2021-01-08 06:08:25.336946
A090000540,M;S01;9,A090000001,-0.0064496278,0.5221775523,2021-01-08 06:08:25.336946
A090000315,F;S01;9,A090000001,-0.2940424948,0.340829565,2021-01-08 06:08:25.336946
A090000405,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000480,F;S01;9,A090000001,-0.1604574163,0.407208553,2021-01-08 06:08:25.336946
A090000383,M;S01;9,A090000001,-0.0007568993,0.5262039887,2021-01-08 06:08:25.336946
A090000340,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000037,M;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000607,M;S01;9,A090000001,0.1593412324,0.6139132602,2021-01-08 06:08:25.336946
A090000455,F;S01;9,A090000001,-0.7379523393,0.2280727538,2021-01-08 06:08:25.336946
A090000129,M;S01;9,A090000001,0.5113222605,0.7442976584,2021-01-08 06:08:25.336946
A090000102,M;S01;9,A090000001,-0.1761989821,0.3974878295,2021-01-08 06:08:25.336946
A090000362,F;S01;9,A090000001,-0.1807229066,0.3948079319,2021-01-08 06:08:25.336946
A090000266,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000075,M;S01;9,A090000001,0.1045538823,0.5883076394,2021-01-08 06:08:25.336946
A090000065,F;S01;9,A090000001,0.5554207269,0.7579745664,2021-01-08 06:08:25.336946
A090000408,M;S01;9,A090000001,-0.6781676604,0.2382245505,2021-01-08 06:08:25.336946
A090000147,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000549,M;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000283,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000256,F;S01;9,A090000001,-0.8064777824,0.2177436476,2021-01-08 06:08:25.336946
A090000590,F;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000492,F;S01;9,A090000001,0.0975190883,0.584777163,2021-01-08 06:08:25.336946
A090000090,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000510,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000327,F;S01;9,A090000001,0.0486109305,0.5580664046,2021-01-08 06:08:25.336946
A090000466,M;S01;9,A090000001,-0.0083125817,0.5208446884,2021-01-08 06:08:25.336946
A090000280,F;S01;9,A090000001,-0.243792394,0.3621067446,2021-01-08 06:08:25.336946
A090000389,M;S01;9,A090000001,-0.2222929196,0.3723661403,2021-01-08 06:08:25.336946
A090000202,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000580,M;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000592,F;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000006,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000025,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000100,M;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000154,F;S01;9,A090000001,-0.1404282504,0.4204790208,2021-01-08 06:08:25.336946
A090000191,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000401,F;S01;9,A090000001,-0.0633104467,0.4788819645,2021-01-08 06:08:25.336946
A090000308,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000305,F;S01;9,A090000001,-0.2432370693,0.3623618349,2021-01-08 06:08:25.336946
A090000162,M;S01;9,A090000001,0.1347606779,0.6027896038,2021-01-08 06:08:25.336946
A090000246,M;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000644,F;S01;9,A090000001,0.0093478302,0.533173638,2021-01-08 06:08:25.336946
A090000508,F;S01;9,A090000001,0.5113222605,0.7442976584,2021-01-08 06:08:25.336946
A090000017,M;S01;9,A090000001,0.4344836598,0.719115251,2021-01-08 06:08:25.336946
A090000275,F;S01;9,A090000001,-0.4821008753,0.2809207772,2021-01-08 06:08:25.336946
A090000393,F;S01;9,A090000001,-0.4252648773,0.296625684,2021-01-08 06:08:25.336946
A090000036,M;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000330,M;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000116,M;S01;9,A090000001,0.3193741074,0.6782200722,2021-01-08 06:08:25.336946
A090000552,M;S01;9,A090000001,0.0978285229,0.5849338674,2021-01-08 06:08:25.336946
A090000355,F;S01;9,A090000001,-0.0040140312,0.5239088797,2021-01-08 06:08:25.336946
A090000559,F;S01;9,A090000001,0.1716937951,0.6193249353,2021-01-08 06:08:25.336946
A090000478,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000502,F;S01;9,A090000001,-0.7076497263,0.2330759589,2021-01-08 06:08:25.336946
A090000611,F;S01;9,A090000001,0.0467137769,0.5569411047,2021-01-08 06:08:25.336946
A090000137,M;S01;9,A090000001,-0.0083125817,0.5208446884,2021-01-08 06:08:25.336946
A090000189,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000300,M;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000444,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000434,M;S01;9,A090000001,0.5113222605,0.7442976584,2021-01-08 06:08:25.336946
A090000314,F;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000127,F;S01;9,A090000001,-0.6357604998,0.246152619,2021-01-08 06:08:25.336946
A090000344,F;S01;9,A090000001,0.0284984054,0.5457450079,2021-01-08 06:08:25.336946
A090000303,F;S01;9,A090000001,0.013943589,0.5362668955,2021-01-08 06:08:25.336946
A090000223,F;S01;9,A090000001,-0.5313550674,0.268640624,2021-01-08 06:08:25.336946
A090000201,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000136,F;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000216,M;S01;9,A090000001,-0.3545296902,0.3188400224,2021-01-08 06:08:25.336946
A090000475,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000538,M;S01;9,A090000001,0.0975190883,0.584777163,2021-01-08 06:08:25.336946
A090000522,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000165,F;S01;9,A090000001,-0.7908039407,0.21999279,2021-01-08 06:08:25.336946
A090000284,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000115,F;S01;9,A090000001,-0.3099049812,0.3347379507,2021-01-08 06:08:25.336946
A090000069,M;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000173,M;S01;9,A090000001,-0.4588515361,0.2871356684,2021-01-08 06:08:25.336946
A090000225,F;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000452,M;S01;9,A090000001,0.2121880632,0.6364061924,2021-01-08 06:08:25.336946
A090000064,M;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000007,F;S01;9,A090000001,0.3345240792,0.6838223452,2021-01-08 06:08:25.336946
A090000525,F;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000105,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000461,M;S01;9,A090000001,0.5690751672,0.7620931227,2021-01-08 06:08:25.336946
A090000184,M;S01;9,A090000001,-0.0483404962,0.4906719812,2021-01-08 06:08:25.336946
A090000008,M;S01;9,A090000001,-0.5887012862,0.2557339984,2021-01-08 06:08:25.336946
A090000377,M;S01;9,A090000001,-0.0203581183,0.5120542288,2021-01-08 06:08:25.336946
A090000347,F;S01;9,A090000001,-0.7086324782,0.2329092068,2021-01-08 06:08:25.336946
A090000243,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000337,M;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000155,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000459,M;S01;9,A090000001,-0.0203581183,0.5120542288,2021-01-08 06:08:25.336946
A090000637,F;S01;9,A090000001,-0.9487703967,0.1999789124,2021-01-08 06:08:25.336946
A090000164,F;S01;9,A090000001,0.1716937951,0.6193249353,2021-01-08 06:08:25.336946
A090000346,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000144,M;S01;9,A090000001,-0.4753101586,0.2827072031,2021-01-08 06:08:25.336946
A090000143,M;S01;9,A090000001,-0.4921325411,0.2783242669,2021-01-08 06:08:25.336946
A090000295,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000546,F;S01;9,A090000001,0.5113222605,0.7442976584,2021-01-08 06:08:25.336946
A090000619,F;S01;9,A090000001,-0.7086324782,0.2329092068,2021-01-08 06:08:25.336946
A090000674,F;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000213,F;S01;9,A090000001,-0.2906767174,0.342156212,2021-01-08 06:08:25.336946
A090000591,F;S01;9,A090000001,0.3345240792,0.6838223452,2021-01-08 06:08:25.336946
A090000442,M;S01;9,A090000001,0.0113903748,0.534554366,2021-01-08 06:08:25.336946
A090000066,M;S01;9,A090000001,-0.3329421481,0.3263203981,2021-01-08 06:08:25.336946
A090000151,F;S01;9,A090000001,0.2732483704,0.6607251603,2021-01-08 06:08:25.336946
A090000526,F;S01;9,A090000001,0.0978285229,0.5849338674,2021-01-08 06:08:25.336946
A090000138,M;S01;9,A090000001,-0.0064496278,0.5221775523,2021-01-08 06:08:25.336946
A090000057,F;S01;9,A090000001,0.0797583258,0.5755470712,2021-01-08 06:08:25.336946
A090000621,M;S01;9,A090000001,-0.5313550674,0.268640624,2021-01-08 06:08:25.336946
A090000604,F;S01;9,A090000001,-0.7086324782,0.2329092068,2021-01-08 06:08:25.336946
A090000483,M;S01;9,A090000001,0.1087642784,0.5903896629,2021-01-08 06:08:25.336946
A090000048,F;S01;9,A090000001,0.5113222605,0.7442976584,2021-01-08 06:08:25.336946
A090000080,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000524,M;S01;9,A090000001,0.3345240792,0.6838223452,2021-01-08 06:08:25.336946
A090000325,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000381,M;S01;9,A090000001,0.2732483704,0.6607251603,2021-01-08 06:08:25.336946
A090000139,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000465,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000098,F;S01;9,A090000001,0.5554207269,0.7579745664,2021-01-08 06:08:25.336946
A090000005,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000509,M;S01;9,A090000001,-0.1165666163,0.4375436694,2021-01-08 06:08:25.336946
A090000548,F;S01;9,A090000001,0.617952574,0.776380642,2021-01-08 06:08:25.336946
A090000026,M;S01;9,A090000001,0.2899861859,0.6671524778,2021-01-08 06:08:25.336946
A090000244,F;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000626,F;S01;9,A090000001,-0.6792656774,0.238027622,2021-01-08 06:08:25.336946
A090000175,M;S01;9,A090000001,0.013943589,0.5362668955,2021-01-08 06:08:25.336946
A090000418,F;S01;9,A090000001,-0.6357604998,0.246152619,2021-01-08 06:08:25.336946
A090000397,F;S01;9,A090000001,0.2489793318,0.6512337388,2021-01-08 06:08:25.336946
A090000366,F;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000209,M;S01;9,A090000001,-0.2071495051,0.380110587,2021-01-08 06:08:25.336946
A090000132,F;S01;9,A090000001,0.1038004447,0.587932669,2021-01-08 06:08:25.336946
A090000222,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000265,F;S01;9,A090000001,0.2489793318,0.6512337388,2021-01-08 06:08:25.336946
A090000614,M;S01;9,A090000001,-0.4588515361,0.2871356684,2021-01-08 06:08:25.336946
A090000272,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000407,M;S01;9,A090000001,-0.6792656774,0.238027622,2021-01-08 06:08:25.336946
A090000371,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000285,F;S01;9,A090000001,-0.4999238621,0.2763420132,2021-01-08 06:08:25.336946
A090000603,F;S01;9,A090000001,0.076617646,0.5738634631,2021-01-08 06:08:25.336946
A090000537,F;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000046,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000562,F;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000018,M;S01;9,A090000001,0.2391749528,0.6473372508,2021-01-08 06:08:25.336946
A090000294,M;S01;9,A090000001,0.3193741074,0.6782200722,2021-01-08 06:08:25.336946
A090000255,M;S01;9,A090000001,-0.8066314572,0.2177219127,2021-01-08 06:08:25.336946
A090000004,M;S01;9,A090000001,-0.0633104467,0.4788819645,2021-01-08 06:08:25.336946
A090000656,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000318,M;S01;9,A090000001,-0.2415116122,0.3631576151,2021-01-08 06:08:25.336946
A090000612,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000145,M;S01;9,A090000001,0.2391749528,0.6473372508,2021-01-08 06:08:25.336946
A090000331,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000477,M;S01;9,A090000001,0.1156976192,0.5937705221,2021-01-08 06:08:25.336946
A090000534,M;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000190,F;S01;9,A090000001,-0.1661971686,0.4035921416,2021-01-08 06:08:25.336946
A090000112,M;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000376,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000221,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000113,M;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000384,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000311,M;S01;9,A090000001,0.1282754575,0.5997639058,2021-01-08 06:08:25.336946
A090000551,M;S01;9,A090000001,-0.2488697353,0.3597971538,2021-01-08 06:08:25.336946
A090000063,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000169,M;S01;9,A090000001,-0.6357604998,0.246152619,2021-01-08 06:08:25.336946
A090000443,F;S01;9,A090000001,0.3548303471,0.69122484,2021-01-08 06:08:25.336946
A090000574,M;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000188,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000257,M;S01;9,A090000001,0.4100010283,0.710735651,2021-01-08 06:08:25.336946
A090000206,F;S01;9,A090000001,0.1156976192,0.5937705221,2021-01-08 06:08:25.336946
A090000260,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000207,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000042,M;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000342,M;S01;9,A090000001,0.1045538823,0.5883076394,2021-01-08 06:08:25.336946
A090000445,M;S01;9,A090000001,-0.2509142384,0.3588784717,2021-01-08 06:08:25.336946
A090000030,F;S01;9,A090000001,-0.4921325411,0.2783242669,2021-01-08 06:08:25.336946
A090000166,M;S01;9,A090000001,-0.9487703967,0.1999789124,2021-01-08 06:08:25.336946
A090000107,M;S01;9,A090000001,0.3345240792,0.6838223452,2021-01-08 06:08:25.336946
A090000367,F;S01;9,A090000001,-0.2788155798,0.3469339994,2021-01-08 06:08:25.336946
A090000293,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000438,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000588,F;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000372,M;S01;9,A090000001,-0.8756951167,0.2085403144,2021-01-08 06:08:25.336946
A090000290,M;S01;9,A090000001,-0.2488697353,0.3597971538,2021-01-08 06:08:25.336946
A090000550,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000250,F;S01;9,A090000001,-0.2509142384,0.3588784717,2021-01-08 06:08:25.336946
A090000234,F;S01;9,A090000001,-0.875620742,0.2085496029,2021-01-08 06:08:25.336946
A090000081,F;S01;9,A090000001,-0.2222929196,0.3723661403,2021-01-08 06:08:25.336946
A090000212,F;S01;9,A090000001,0.1716937951,0.6193249353,2021-01-08 06:08:25.336946
A090000051,M;S01;9,A090000001,-0.2610815608,0.3544020962,2021-01-08 06:08:25.336946
A090000235,M;S01;9,A090000001,-0.8064777824,0.2177436476,2021-01-08 06:08:25.336946
A090000390,M;S01;9,A090000001,-0.3812132511,0.3100743597,2021-01-08 06:08:25.336946
A090000436,M;S01;9,A090000001,-0.6357604998,0.246152619,2021-01-08 06:08:25.336946
A090000286,F;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000468,F;S01;9,A090000001,0.076617646,0.5738634631,2021-01-08 06:08:25.336946
A090000176,F;S01;9,A090000001,0.4344836598,0.719115251,2021-01-08 06:08:25.336946
A090000391,M;S01;9,A090000001,-0.9487703967,0.1999789124,2021-01-08 06:08:25.336946
A090000424,M;S01;9,A090000001,-0.4921325411,0.2783242669,2021-01-08 06:08:25.336946
A090000451,F;S01;9,A090000001,-0.7086324782,0.2329092068,2021-01-08 06:08:25.336946
A090000529,M;S01;9,A090000001,0.1282754575,0.5997639058,2021-01-08 06:08:25.336946
A090000198,M;S01;9,A090000001,0.4100010283,0.710735651,2021-01-08 06:08:25.336946
A090000197,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000387,F;S01;9,A090000001,-0.2719053332,0.3497954818,2021-01-08 06:08:25.336946
A090000002,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000232,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
